"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000 -25000
"2" -6005.68634787104 -6422.05829643952 -6619.21977325885 -6059.89176197161 -6396.24622736558 -6779.46746627792 -6131.21711261232 -6522.05242740928 -6736.53499563237 -6353.28940409507 -5933.15180738542 -6053.97183233287 -6177.11238728092 -6057.91450628734 -6292.61861505547 -6726.57630390825 -6311.55557692271 -6067.71053136944 -6410.395114365 -6198.620820406
"3" -4113.48392382354 -4074.22463107902 -4108.79137091183 -4094.12038649711 -4149.37331848361 -4091.57480985998 -4067.41457820971 -4087.34312419293 -4180.3122643291 -4080.01682484066 -4072.14393187419 -4166.42468565335 -4152.57791029473 -4099.36834882559 -4120.36969912268 -4170.62777612727 -4071.27804124471 -4132.28167849854 -4059.08962241427 -4118.88310892785
"4" -4106.70301501141 -4060.01855657012 -4081.00755439896 -4081.12897446835 -4135.77937928435 -4069.21207635838 -4054.37601274485 -4070.73179696054 -4134.94395111636 -4061.39367766141 -4062.8182576764 -4136.35220895183 -4143.83170618878 -4084.44841274972 -4107.05142081798 -4147.21035291482 -4065.57976435671 -4114.67511765909 -4044.18033970051 -4109.07223773859
"5" -4101.16978365364 -4051.74870040844 -4067.82808519896 -4076.45961197766 -4122.99846321551 -4057.07441564224 -4049.78151989045 -4056.31994053298 -4116.40869713325 -4053.12163965335 -4060.15316064885 -4116.86299520368 -4136.5462072217 -4077.09867607986 -4096.91764855613 -4131.04408670153 -4061.15871285141 -4099.99093251376 -4035.4001992983 -4100.45565392617
"6" -4096.43446458806 -4044.89826124745 -4059.59706394951 -4073.43866373038 -4111.71729307095 -4048.5170452675 -4046.75889624514 -4042.63060262575 -4107.48509098349 -4047.77090202544 -4058.96861139525 -4104.93976169048 -4129.1507617677 -4073.81786468737 -4087.63447338063 -4117.79691460853 -4057.40663196185 -4089.8089610424 -4028.56118094851 -4093.57402959781
"7" -4092.36664665514 -4038.81888368332 -4053.70306217058 -4071.12988886362 -4102.30596637966 -4042.16008969387 -4044.41991704132 -4030.53305873705 -4102.37909469925 -4043.29344699496 -4058.2672951778 -4098.46298676861 -4121.40708915298 -4072.30012090315 -4079.89821424597 -4107.2966471729 -4054.2361883826 -4084.3538696021 -4022.42183751855 -4088.4667946486
"8" -4088.88597256393 -4032.9171150731 -4048.91011361401 -4069.27004720876 -4094.23702130973 -4037.13249935119 -4042.49092941959 -4020.38062573448 -4098.90337798028 -4038.6277330624 -4057.79426983772 -4094.95743505677 -4113.73869774218 -4071.47568989163 -4073.76790965081 -4098.8690985549 -4051.55892631493 -4081.73527888598 -4016.18651253626 -4084.72643453083
"9" -4085.94883765068 -4026.74178140915 -4044.73514347403 -4067.73844252931 -4086.81262946902 -4032.97397237664 -4040.8135631203 -4011.94741798707 -4096.23395835742 -4033.20223624414 -4057.45692365547 -4092.85140498528 -4106.86441622781 -4070.94254071698 -4068.78226139375 -4091.78592397316 -4049.26835683481 -4080.42329132469 -4009.55649823877 -4081.91031367783
"10" -4083.52989485713 -4020.17818919813 -4041.04574493969 -4066.45107944305 -4079.57140172034 -4029.46034432696 -4039.25555235903 -4004.9452248466 -4094.03738337305 -4026.82497084528 -4057.2084732302 -4091.41073753066 -4101.32222586507 -4070.54945232844 -4064.33108751917 -4085.57428204661 -4047.25744238662 -4079.68370822 -4002.80761617846 -4079.68154419173
"11" -4081.59751584595 -4013.57725937867 -4037.82327396029 -4065.33873004522 -4072.41721097194 -4026.46965896858 -4037.69069823811 -3999.31652956672 -4092.14737606514 -4019.86796563134 -4057.02045657649 -4090.3163323502 -4097.21025349879 -4070.23390930231 -4059.83643634761 -4080.02541027121 -4045.43510039625 -4079.20921490133 -3996.67060347816 -4077.80588758289
"12" -4080.09768131306 -4007.62385462389 -4035.0498946518 -4064.34330227288 -4065.64044776668 -4023.91841191173 -4035.98889732258 -3995.06210559065 -4090.45171190261 -4013.31799671847 -4056.87418816801 -4089.41879136414 -4094.27253142644 -4069.9669572112 -4054.80643330386 -4075.08961835729 -4043.73143432483 -4078.86810735894 -3991.81703424621 -4076.12235362831
"13" -4078.95589267446 -4002.87978368745 -4032.67652824277 -4063.41711848823 -4059.74829063226 -4021.73934837215 -4034.00580869697 -3992.01916453212 -4088.85400707382 -4008.19275832423 -4056.75702661086 -4088.63762303879 -4092.14235026463 -4069.73366993778 -4048.92002097951 -4070.76731373481 -4042.09455385351 -4078.59959967127 -3988.39014209254 -4074.5179149044
